Store_Dept_Date,Weekly_Sales
1_44_2012-12-28,6487.6072
1_46_2012-12-28,27223.3008
1_48_2012-12-28,2908.4023
1_49_2012-12-28,11414.5068
1_52_2012-12-28,2637.6933
1_54_2012-12-28,70.4072
1_55_2012-12-28,38436.8639
1_56_2012-12-28,787.3656
1_58_2012-12-28,3354.79
1_59_2012-12-28,5782.5199
1_60_2012-12-28,750.366
1_67_2012-12-28,9268.2243
1_71_2012-12-28,3821.8865
1_72_2012-12-28,78099.331
1_74_2012-12-28,14130.1912
1_79_2012-12-28,29691.6842
1_80_2012-12-28,18278.6485
1_81_2012-12-28,28321.51
1_82_2012-12-28,33340.8721
1_83_2012-12-28,4927.7313
1_85_2012-12-28,4732.8963
1_87_2012-12-28,47629.6941
1_90_2012-12-28,84301.1129
1_91_2012-12-28,52037.0175
1_92_2012-12-28,100000
1_93_2012-12-28,59128.0392
1_94_2012-12-28,53189.428
1_95_2012-12-28,96533.8608
1_96_2012-12-28,36695.4934
1_97_2012-12-28,33286.0247
1_98_2012-12-28,15220.8137
1_99_2012-12-28,453.0453
1_1_2013-01-04,17817.4296
1_2_2013-01-04,46098.4701
1_3_2013-01-04,12506.5636
1_4_2013-01-04,38211.5159
1_5_2013-01-04,25598.6279
1_6_2013-01-04,2674.2193
1_7_2013-01-04,11809.1994
1_8_2013-01-04,38738.0864
1_9_2013-01-04,18197.4092
1_10_2013-01-04,26061.5342
1_11_2013-01-04,24150.0409
1_12_2013-01-04,7975.4108
1_13_2013-01-04,39608.0673
1_14_2013-01-04,15404.8281
1_16_2013-01-04,6049.7454
1_17_2013-01-04,8697.3411
1_18_2013-01-04,6342.7768
1_19_2013-01-04,956.1406
1_20_2013-01-04,3504.4904
1_21_2013-01-04,7526.2852
1_22_2013-01-04,8473.2095
1_23_2013-01-04,17352.6977
1_24_2013-01-04,6055.7601
1_25_2013-01-04,6766.724
1_26_2013-01-04,4453.5941
1_27_2013-01-04,1926.7385
1_28_2013-01-04,712.0941
1_29_2013-01-04,4911.9068
1_30_2013-01-04,2745.7468
1_31_2013-01-04,3026.1613
1_32_2013-01-04,4074.8636
1_33_2013-01-04,3797.43
1_34_2013-01-04,8339.1235
1_35_2013-01-04,2000.0327
1_36_2013-01-04,1227.6229
1_37_2013-01-04,3063.4507
1_38_2013-01-04,88119.5969
1_40_2013-01-04,65132.1151
1_41_2013-01-04,444.5937
1_42_2013-01-04,7522.8306
1_44_2013-01-04,4294.7468
1_46_2013-01-04,16240.5835
1_48_2013-01-04,694.07
1_49_2013-01-04,10864.5088
1_52_2013-01-04,1778.7084
1_54_2013-01-04,33.357
1_55_2013-01-04,12575.1946
1_56_2013-01-04,880.2759
1_58_2013-01-04,2571.2588
1_59_2013-01-04,445.6496
1_60_2013-01-04,1244.272
1_67_2013-01-04,8313.0136
1_71_2013-01-04,2823.6865
1_72_2013-01-04,43007.8413
1_74_2013-01-04,12252.6481
1_79_2013-01-04,42674.2028
1_80_2013-01-04,18016.7626
1_81_2013-01-04,30465.1471
1_82_2013-01-04,20201.1078
1_83_2013-01-04,6136.5671
1_85_2013-01-04,3189.1262
1_87_2013-01-04,61464.8517
1_90_2013-01-04,85691.4881
1_91_2013-01-04,67572.3136
1_92_2013-01-04,100000
1_93_2013-01-04,76132.0069
1_94_2013-01-04,63959.4221
1_95_2013-01-04,99751.2684
1_96_2013-01-04,30113.3751
1_97_2013-01-04,36101.1057
1_98_2013-01-04,12047.0616
1_1_2013-01-11,16923.2458
1_2_2013-01-11,45355.0271
1_3_2013-01-11,13114.1609
1_4_2013-01-11,36170.9986
1_5_2013-01-11,23697.3691
1_6_2013-01-11,2843.0708
1_7_2013-01-11,10634.7193
1_8_2013-01-11,36240.1266
1_9_2013-01-11,17996.0161
1_10_2013-01-11,26084.425
1_11_2013-01-11,23560.418
1_12_2013-01-11,8085.9048
1_13_2013-01-11,38600.861
1_14_2013-01-11,14539.4659
1_16_2013-01-11,6904.7692
1_17_2013-01-11,8948.3631
1_18_2013-01-11,3946.8929
1_19_2013-01-11,824.4746
1_20_2013-01-11,4012.3072
1_21_2013-01-11,7516.1503
1_22_2013-01-11,8064.4434
1_23_2013-01-11,16267.1947
1_24_2013-01-11,4298.4983
1_25_2013-01-11,6375.2236
1_26_2013-01-11,4303.6821
1_27_2013-01-11,1743.5537
1_28_2013-01-11,637.9117
1_29_2013-01-11,4467.7066
1_30_2013-01-11,2533.474
1_31_2013-01-11,2038.441
1_32_2013-01-11,4731.7604
1_33_2013-01-11,3830.5314
1_34_2013-01-11,8503.7907
1_35_2013-01-11,2035.4137
1_36_2013-01-11,792.57
1_37_2013-01-11,2831.0522
1_38_2013-01-11,78293.6056
1_40_2013-01-11,63402.7882
1_41_2013-01-11,385.4619
1_42_2013-01-11,7864.013
1_44_2013-01-11,4201.5334
1_46_2013-01-11,16866.5261
1_48_2013-01-11,962.59
1_49_2013-01-11,11491.7026
1_52_2013-01-11,1674.4543
1_55_2013-01-11,11354.4695
1_56_2013-01-11,1156.3392
1_58_2013-01-11,2554.4437
1_59_2013-01-11,244.683
1_60_2013-01-11,1220.764
1_67_2013-01-11,7410.0582
1_71_2013-01-11,2448.3709
1_72_2013-01-11,38263.2697
1_74_2013-01-11,12804.8465
1_79_2013-01-11,34975.4849
1_80_2013-01-11,18470.7153
1_81_2013-01-11,30547.3677
1_82_2013-01-11,19231.3914
1_83_2013-01-11,6425.3527
1_85_2013-01-11,3099.6204
1_87_2013-01-11,47975.778
1_90_2013-01-11,89789.3084
1_91_2013-01-11,71008.9975
1_92_2013-01-11,100000
1_93_2013-01-11,79843.8205
1_94_2013-01-11,65278.0995
1_95_2013-01-11,100000
1_96_2013-01-11,29824.991
1_97_2013-01-11,36853.1699
1_98_2013-01-11,12205.5064
1_1_2013-01-18,18533.0695
1_2_2013-01-18,43172.1839
1_3_2013-01-18,12775.904
1_4_2013-01-18,35467.4626
1_5_2013-01-18,20485.2229
1_6_2013-01-18,2496.9246
1_7_2013-01-18,10408.496
1_8_2013-01-18,35342.1996
1_9_2013-01-18,14396.9991
1_10_2013-01-18,24696.803
1_11_2013-01-18,21565.3002
1_12_2013-01-18,7950.3173
1_13_2013-01-18,37527.2819
1_14_2013-01-18,13480.8416
1_16_2013-01-18,5407.7866
1_17_2013-01-18,8667.5199
1_18_2013-01-18,9634.688
1_19_2013-01-18,984.9897
1_20_2013-01-18,3636.3866
1_21_2013-01-18,7367.3403
1_22_2013-01-18,7527.3833
1_23_2013-01-18,15953.6397
1_24_2013-01-18,5326.2806
1_25_2013-01-18,6365.1849
1_26_2013-01-18,4587.0285
1_27_2013-01-18,1810.2249
1_28_2013-01-18,777.201
1_29_2013-01-18,4778.0513
1_30_2013-01-18,2676.4038
1_31_2013-01-18,2862.0974
1_32_2013-01-18,4655.9728
1_33_2013-01-18,3692.1356
1_34_2013-01-18,8016.1446
1_35_2013-01-18,1896.6592
1_36_2013-01-18,610.2884
1_37_2013-01-18,2630.7589
1_38_2013-01-18,75772.8413
1_40_2013-01-18,61662.8794
1_41_2013-01-18,456.6655
1_42_2013-01-18,7377.921
1_44_2013-01-18,4216.9514
1_45_2013-01-18,18.9146
1_46_2013-01-18,16010.9053
1_48_2013-01-18,732.0299
